memoria, bateria, cpu, crip
  3%, 65%, 52%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 55%, ##AES256##
  3%, 65%, 57%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 52%, ##AES256##
  3%, 65%, 55%, ##AES256##
  3%, 65%, 56%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 52%, ##AES256##
  3%, 65%, 57%, ##AES256##
  3%, 65%, 51%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 56%, ##AES256##
  3%, 65%, 52%, ##AES256##
  3%, 65%, 56%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 58%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 55%, ##AES256##
  3%, 65%, 55%, ##AES256##
  3%, 65%, 55%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 56%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 57%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 52%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 60%, ##AES256##
  3%, 67%, 55%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 58%, ##AES256##
  3%, 67%, 58%, ##AES256##
  3%, 67%, 54%, ##AES256##
  3%, 67%, 57%, ##AES256##
  3%, 67%, 55%, ##AES256##
  3%, 67%, 55%, ##AES256##
  3%, 67%, 55%, ##AES256##
  3%, 67%, 55%, ##AES256##
  3%, 67%, 55%, ##AES256##
  3%, 67%, 52%, ##AES256##
  3%, 67%, 53%, ##AES256##
  3%, 67%, 60%, ##AES256##
  3%, 67%, 56%, ##AES256##
  3%, 67%, 56%, ##AES256##
  3%, 67%, 57%, ##AES256##
  3%, 67%, 53%, ##AES256##
  3%, 67%, 55%, ##AES256##
  3%, 67%, 53%, ##AES256##
  3%, 67%, 53%, ##AES256##
  3%, 67%, 52%, ##AES256##
  3%, 67%, 52%, ##AES256##
  3%, 67%, 52%, ##AES192##
  3%, 67%, 55%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 58%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 56%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 55%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 55%, ##AES192##
  3%, 67%, 55%, ##AES192##
  3%, 67%, 51%, ##AES192##
  3%, 67%, 53%, ##AES192##
  3%, 67%, 54%, ##AES192##
  3%, 67%, 56%, ##AES192##
  3%, 67%, 52%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 56%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 57%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 56%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 57%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 52%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 52%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 52%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 52%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 57%, ##AES192##
  3%, 69%, 58%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 57%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 59%, ##AES192##
  3%, 69%, 56%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 55%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 52%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 52%, ##AES192##
  3%, 69%, 58%, ##AES192##
  3%, 69%, 52%, ##AES192##
  3%, 69%, 56%, ##AES192##
  3%, 69%, 54%, ##AES192##
  3%, 69%, 53%, ##AES192##
  3%, 69%, 56%, ##AES192##
  3%, 69%, 56%, ##AES192##
  3%, 71%, 57%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 57%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 57%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 57%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 71%, 58%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 57%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 58%, ##AES192##
  3%, 71%, 54%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 57%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 55%, ##AES192##
  3%, 71%, 56%, ##AES192##
  3%, 71%, 53%, ##AES192##
  3%, 71%, 52%, ##AES192##
  3%, 70%, 53%, ##AES192##
  3%, 70%, 56%, ##AES192##
