memoria, bateria, cpu, crip
  3%, 63%, 55%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 56%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 56%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 56%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 52%, ##AES256##
  3%, 63%, 58%, ##AES256##
  3%, 63%, 52%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 56%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 52%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 52%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 52%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 51%, ##AES256##
  3%, 63%, 59%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 55%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 57%, ##AES256##
  3%, 63%, 59%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 63%, 53%, ##AES256##
  3%, 63%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 57%, ##AES256##
  3%, 65%, 52%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 51%, ##AES256##
  3%, 65%, 55%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 52%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 53%, ##AES256##
  3%, 65%, 54%, ##AES256##
  3%, 65%, 56%, ##AES256##
  3%, 65%, 54%, ##AES256##
