
 memoria ; cpu; crip ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 29 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 64 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 29 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 30 ; 65 ; ##AES128## ;
 29 ; 83 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 28 ; 75 ; ##AES128## ;
 29 ; 64 ; ##AES128## ;
 29 ; 65 ; ##AES128## ;
 28 ; 65 ; ##AES128## ;
 29 ; 65 ; ##AES128## ;
 29 ; 65 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 29 ; 64 ; ##AES128## ;
 28 ; 64 ; ##AES128## ;
 28 ; 63 ; ##AES128## ;
