 memoria, bateria, cpu, crip,
  3%, 61%, 62%, ##AES192##,
  3%, 61%, 74%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 71%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 71%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 71%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 75%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 71%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 74%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 72%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 63%, 73%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 71%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 71%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 71%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 71%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 74%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 73%, ##AES192##,
  3%, 65%, 72%, ##AES192##,
  3%, 65%, 81%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 91%, ##AES192##,
