 memoria, bateria, cpu, crip,
  3%, 65%, 91%, ##AES192##,
  3%, 65%, 91%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 93%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 91%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 65%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 93%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 94%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 91%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 93%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 92%, ##AES192##,
  3%, 68%, 93%, ##AES192##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 91%, ##AES128##,
  3%, 68%, 91%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 93%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 91%, ##AES128##,
  3%, 68%, 93%, ##AES128##,
  3%, 68%, 91%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 91%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 94%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 93%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 68%, 91%, ##AES128##,
  3%, 68%, 91%, ##AES128##,
  3%, 68%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 91%, ##AES128##,
  3%, 70%, 93%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 91%, ##AES128##,
  3%, 70%, 91%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 93%, ##AES128##,
  3%, 70%, 91%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  3%, 70%, 91%, ##AES128##,
  3%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 90%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 93%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 93%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 70%, 93%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 92%, ##AES128##,
  2%, 70%, 90%, ##AES128##,
  2%, 70%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 90%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 90%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 90%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 90%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 90%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 90%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 94%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 92%, ##AES128##,
  2%, 72%, 91%, ##AES128##,
  2%, 72%, 86%, ##AES128##,
