memoria, bateria, cpu, crip
  3%, 89%, 51%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 49%, ##AES128##
  3%, 89%, 53%, ##AES128##
  3%, 89%, 50%, ##AES128##
  3%, 89%, 48%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 54%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 52%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 48%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 47%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 48%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 52%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 52%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 51%, ##AES128##
  3%, 91%, 49%, ##AES128##
  3%, 91%, 48%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 52%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 50%, ##AES128##
  3%, 91%, 53%, ##AES128##
  3%, 93%, 53%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 54%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 52%, ##AES128##
  3%, 93%, 51%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 47%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 52%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 48%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 52%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 53%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 53%, ##AES128##
  3%, 93%, 51%, ##AES128##
  3%, 93%, 51%, ##AES128##
  3%, 93%, 52%, ##AES128##
  3%, 93%, 51%, ##AES128##
