memoria, bateria, cpu, crip
  3%, 93%, 50%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 48%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 48%, ##AES128##
  3%, 93%, 55%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 52%, ##AES128##
  3%, 93%, 51%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 49%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 50%, ##AES128##
  3%, 93%, 52%, ##AES128##
  3%, 93%, 48%, ##AES128##
  3%, 95%, 49%, ##AES128##
  3%, 95%, 49%, ##AES128##
  3%, 95%, 51%, ##AES128##
  3%, 95%, 48%, ##AES128##
  3%, 95%, 50%, ##AES128##
  3%, 95%, 49%, ##AES128##
  3%, 95%, 50%, ##AES128##
  3%, 95%, 52%, ##AES128##
  3%, 95%, 50%, ##AES128##
  3%, 95%, 51%, ##AES128##
  3%, 95%, 51%, ##AES128##
  3%, 95%, 50%, ##AES128##
  3%, 95%, 49%, ##AES128##
  3%, 95%, 50%, ##AES128##
  3%, 95%, 49%, ##AES128##
  3%, 95%, 49%, ##AES128##
  3%, 95%, 49%, ##AES128##
  3%, 95%, 52%, ##CHACHA##
  3%, 95%, 51%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 51%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 52%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 56%, ##CHACHA##
  3%, 95%, 52%, ##CHACHA##
  3%, 95%, 49%, ##CHACHA##
  3%, 95%, 55%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 52%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 49%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 55%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 95%, 51%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 56%, ##CHACHA##
  3%, 95%, 56%, ##CHACHA##
  3%, 95%, 53%, ##CHACHA##
  3%, 95%, 54%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 50%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 49%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 50%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 51%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 50%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 50%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 56%, ##CHACHA##
  3%, 97%, 52%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 53%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 97%, 55%, ##CHACHA##
  3%, 97%, 51%, ##CHACHA##
  3%, 97%, 54%, ##CHACHA##
  3%, 98%, 56%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 52%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 52%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 55%, ##CHACHA##
  3%, 98%, 57%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 52%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 52%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 50%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 55%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 50%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 55%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 51%, ##CHACHA##
  3%, 98%, 52%, ##CHACHA##
  3%, 98%, 49%, ##CHACHA##
  3%, 98%, 64%, ##CHACHA##
  3%, 98%, 56%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 53%, ##CHACHA##
  3%, 98%, 49%, ##CHACHA##
  3%, 98%, 55%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
  3%, 98%, 56%, ##CHACHA##
  3%, 98%, 54%, ##CHACHA##
