memoria, cpu, crip
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 77%, ##AES128##
 43%, 76%, ##AES128##
 43%, 74%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 74%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 80%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 74%, ##AES128##
 43%, 74%, ##AES128##
 43%, 74%, ##AES128##
 43%, 74%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 74%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 79%, ##AES128##
 43%, 80%, ##AES128##
 43%, 75%, ##AES128##
 43%, 74%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 44%, 74%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 77%, ##AES128##
 43%, 79%, ##AES128##
 43%, 74%, ##AES128##
 43%, 75%, ##AES128##
 43%, 76%, ##AES128##
 43%, 75%, ##AES128##
 43%, 75%, ##AES128##
 43%, 74%, ##AES128##
 43%, 76%, ##AES128##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 81%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
