memoria, cpu, crip,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 88%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 88%, ##AES128##,
 32%, 88%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 88%, ##AES128##,
 32%, 87%, ##AES128##,
 32%, 86%, ##AES128##,
 32%, 87%, ##AES128##,
