memoria, cpu, crip
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 74%, ##AES192##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 77%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 78%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 80%, ##CHACHA##
 43%, 80%, ##CHACHA##
 44%, 75%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 77%, ##CHACHA##
 44%, 75%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 77%, ##CHACHA##
 44%, 76%, ##CHACHA##
 44%, 76%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 44%, 75%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 76%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 74%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 75%, ##CHACHA##
 44%, 77%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 74%, ##CHACHA##
 44%, 77%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 78%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 78%, ##CHACHA##
 43%, 74%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 76%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 74%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 73%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 44%, 77%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 77%, ##CHACHA##
 43%, 77%, ##CHACHA##
 44%, 76%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 74%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 76%, ##CHACHA##
 43%, 74%, ##CHACHA##
 43%, 73%, ##CHACHA##
 43%, 76%, ##CHACHA##
 44%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 75%, ##CHACHA##
 43%, 73%, ##CHACHA##
