memoria, cpu, crip
 43%, 73%, ##AES192##
 43%, 75%, ##AES192##
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 76%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 76%, ##AES192##
 43%, 76%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 73%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 72%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 73%, ##AES192##
 43%, 73%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 73%, ##AES192##
 43%, 78%, ##AES192##
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 74%, ##AES192##
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 74%, ##AES192##
 43%, 75%, ##AES192##
 43%, 74%, ##AES192##
 43%, 78%, ##AES192##
 43%, 75%, ##AES192##
 43%, 75%, ##AES192##
 43%, 76%, ##AES192##
